timestamp,Hour1,Hour2,Minute1,Minute2,Day1,Day2,Month1,Month2,Year1,Year2,Year3,Year4
1589449617.0669575,1,5,1,1,0,3,0,1,2,0,2,0
1589449618.0674016,1,5,1,1,0,3,0,1,2,0,2,0
1589449619.0670173,1,5,1,1,0,3,0,1,2,0,2,0
1589449620.0626826,1,5,1,1,0,3,0,1,2,0,2,0
1589449621.0626822,1,5,1,1,0,3,0,1,2,0,2,0
1589449622.0618482,1,5,1,1,0,3,0,1,2,0,2,0
1589449623.0618577,1,5,1,1,0,3,0,1,2,0,2,0
1589449624.0617857,1,5,1,1,0,3,0,1,2,0,2,0
1589449625.0619655,1,5,1,1,0,3,0,1,2,0,2,0
1589449626.0619755,1,5,1,1,0,3,0,1,2,0,2,0
1589449627.061729,1,5,1,1,0,3,0,1,2,0,2,0
1589449628.0667102,1,5,1,1,0,3,0,1,2,0,2,0
1589449629.0622065,1,5,1,1,0,3,0,1,2,0,2,0
1589449630.061745,1,5,1,1,0,3,0,1,2,0,2,0
1589449631.061867,1,5,1,1,0,3,0,1,2,0,2,0
1589449632.0618906,1,5,1,1,0,3,0,1,2,0,2,0
1589449633.061715,1,5,1,1,0,3,0,1,2,0,2,0
1589449634.0619707,1,5,1,1,0,3,0,1,2,0,2,0
